6,100,200
100.0,66.66
50.0,133.33
150.0,22.22
25.0,88.88
125.0,155.55
75.0,44.44
175.0,111.11
12.5,177.77
112.5,7.4
62.5,74.07
162.5,140.74
37.5,29.62
137.5,96.29
87.5,162.96
187.5,51.85
6.25,118.51
106.25,185.18
56.25,14.81
156.25,81.48
31.25,148.14
131.25,37.03
81.25,103.7
181.25,170.37
18.75,59.25
118.75,125.92
68.75,192.59
168.75,2.46
43.75,69.13
143.75,135.8
93.75,24.69
193.75,91.35
3.12,158.02
103.12,46.91
53.12,113.58
153.12,180.24
28.12,9.87
128.12,76.54
78.12,143.2
178.12,32.09
15.62,98.76
115.62,165.43
65.62,54.32
165.62,120.98
40.62,187.65
140.62,17.28
90.62,83.95
190.62,150.61
9.37,39.5
109.37,106.17
59.37,172.83
159.37,61.72
34.37,128.39
134.37,195.06
84.37,4.93
184.37,71.6
21.87,138.27
121.87,27.16
71.87,93.82
171.87,160.49
46.87,49.38
146.87,116.04
96.87,182.71
196.87,12.34
1.56,79.01
101.56,145.67
51.56,34.56
151.56,101.23
26.56,167.9
126.56,56.79
76.56,123.45
176.56,190.12
14.06,19.75
114.06,86.41
64.06,153.08
164.06,41.97
39.06,108.64
139.06,175.3
89.06,64.19
189.06,130.86
7.81,197.53
107.81,0.82
57.81,67.48
157.81,134.15
32.81,23.04
132.81,89.71
82.81,156.37
182.81,45.26
20.31,111.93
120.31,178.6
70.31,8.23
170.31,74.89
45.31,141.56
145.31,30.45
95.31,97.11
195.31,163.78
4.68,52.67
104.68,119.34
54.68,186.0
154.68,15.63
29.68,82.3
