15,100,200,0
100.0,66.0,1
50.0,133.0,1
150.0,22.0,1
25.0,88.0,0
125.0,155.0,1
75.0,44.0,1
175.0,111.0,1
12.5,177.0,1
112.5,7.0,1
62.5,74.0,1
162.5,140.0,1
37.5,29.0,1
137.5,96.0,1
87.5,162.0,1
187.5,51.0,1
6.25,118.0,1
106.25,185.0,1
56.25,14.0,1
156.25,81.0,0
31.25,148.0,1
131.25,37.0,1
81.25,103.0,1
181.25,170.0,1
18.75,59.0,1
118.75,125.0,1
68.75,192.0,1
168.75,2.0,0
43.75,69.0,0
143.75,135.0,1
93.75,24.0,1
193.75,91.0,1
3.12,158.0,1
103.12,46.0,1
53.12,113.0,1
153.12,180.0,1
28.12,9.0,1
128.12,76.0,2
78.12,143.0,1
178.12,32.0,1
15.62,98.0,1
115.62,165.0,0
65.62,54.0,1
165.62,120.0,1
40.61,187.0,1
140.62,17.0,1
90.62,83.0,1
190.62,150.0,1
9.36,39.0,1
109.37,106.0,0
59.37,172.0,1
159.37,61.0,2
34.36,128.0,1
134.37,195.0,1
84.37,4.0,1
184.37,71.0,1
21.87,138.0,1
121.87,27.0,1
71.87,93.0,1
171.87,160.0,1
46.87,49.0,1
146.87,116.0,1
96.87,182.0,1
196.87,12.0,1
1.56,79.0,1
101.56,145.0,1
51.56,34.0,1
151.56,101.0,0
26.56,167.0,1
126.56,56.0,1
76.56,123.0,1
176.56,190.0,2
14.06,19.0,1
114.06,86.0,1
64.06,153.0,1
164.06,41.0,2
39.06,108.0,1
139.06,175.0,1
89.06,64.0,1
189.06,130.0,1
7.81,197.0,1
107.81,0.0,1
57.81,67.0,1
157.81,134.0,0
32.81,23.0,1
132.81,89.0,1
82.81,156.0,1
182.81,45.0,1
20.3,111.0,1
120.31,178.0,1
70.31,8.0,1
170.31,74.0,1
45.31,141.0,1
145.31,30.0,1
95.31,97.0,1
195.31,163.0,1
4.68,52.0,1
104.68,119.0,1
54.68,186.0,1
154.68,15.0,1
29.68,82.0,1
